number of clusters = 5
Cluster 0 (40) : 
0: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

1: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

2: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

3: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

4: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

6: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

7: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

8: Input vars: 32-to-1(0x1), and 1-to-32Z(0x0) 

9: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

10: Input vars: 32-to-1(0x3), and 1-to-32Z(0x0) 

12: Input vars: 32-to-1(0x1), and 1-to-32Z(0x0) 

14: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

15: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

16: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

17: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

18: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

19: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

20: Input vars: 32-to-1(0x3), and 1-to-32Z(0x0) 

21: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

22: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

23: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

24: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

25: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

26: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

28: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

29: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

31: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

32: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

33: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

34: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

35: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

37: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

38: Input vars: 32-to-1(0x5), and 1-to-32Z(0x0) 

39: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

41: Input vars: 32-to-1(0x6), and 1-to-32Z(0x0) 

42: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

44: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

45: Input vars: 32-to-1(0x0), and 1-to-32Z(0x0) 

46: Input vars: 32-to-1(0x1), and 1-to-32Z(0x0) 

47: Input vars: 32-to-1(0x3), and 1-to-32Z(0x0) 

Cluster 1 (1) : 
5: Input vars: 1-to-32Z(0x0), and 1-to-32Z(0x0) 

Cluster 2 (2) : 
11: Input vars: (0x0), and 32-to-1(0x0) 

30: Input vars: (0xa), and 32-to-1(0x0) 

Cluster 3 (3) : 
13: Input vars: 32-to-1(0x4), and 1-to-32Z(0x0) 

27: Input vars: 32-to-1(0x4), and 1-to-32Z(0x0) 

36: Input vars: 32-to-1(0x4), and 1-to-32Z(0x0) 

Cluster 4 (2) : 
40: Input vars: 1-to-32Z(0x5), and 1-to-32Z(0x0) 

43: Input vars: 1-to-32Z(0x5), and 1-to-32Z(0x0) 

